Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
"Thu, 16th Jul",de_cache,16:14,9,22,22,5,0,32,55,0,0,0,1,0,0,0,3,1.02,12962352,76561198236436482
"Thu, 16th Jul",de_mirage,16:9,9,16,17,4,-1,56,74,0,0,0,0,1,0,0,0,0.89,12962349,76561198236436482
"Wed, 15th Jul",de_dust2,8:16,9,9,20,5,-11,67,52,0,0,0,0,0,0,0,0,0.47,12962348,76561198236436482
"Wed, 15th Jul",de_inferno,13:16,9,18,18,6,0,67,73,0,0,0,0,0,0,0,2,1.01,12962355,76561198236436482
"Wed, 15th Jul",de_mirage,14:16,9,21,23,8,-2,43,92,0,0,0,0,0,0,0,0,0.87,12962347,76561198236436482
"Tue, 14th Jul",de_inferno,7:16,9,11,20,4,-9,73,63,0,0,0,0,0,0,0,1,0.63,12778847,76561198236436482
"Tue, 14th Jul",de_cache,16:10,9,13,17,8,-4,38,69,0,0,0,0,0,0,0,0,0.77,12806339,76561198236436482
"Tue, 14th Jul",de_inferno,6:16,9,4,18,1,-14,25,40,0,0,0,0,0,0,0,0,0.34,12885663,76561198236436482
"Mon, 13th Jul",de_inferno,16:10,9,14,20,4,-6,36,71,0,0,0,0,0,0,1,0,0.82,12994639,76561198236436482
"Mon, 13th Jul",de_mirage,8:16,9,10,18,2,-8,60,48,0,0,0,0,0,0,0,1,0.67,12962345,76561198236436482
"Mon, 13th Jul",de_dust2,12:16,9,16,25,5,-9,69,75,0,0,0,0,0,0,0,1,0.71,12962346,76561198236436482
"Mon, 13th Jul",de_cache,16:10,9,19,20,7,-1,47,90,0,0,0,0,0,0,0,1,0.96,12962344,76561198236436482
"Sun, 12th Jul",de_cache,10:16,9,14,23,3,-9,79,60,0,0,0,0,0,0,0,0,0.59,12703200,76561198236436482
"Sun, 12th Jul",de_mirage,16:13,9,22,18,6,4,36,87,0,0,0,0,0,0,0,2,1.17,12703204,76561198236436482
"Sun, 12th Jul",de_inferno,11:16,9,14,21,4,-7,29,58,0,0,0,0,0,0,0,0,0.71,12703205,76561198236436482
"Sun, 12th Jul",de_mirage,14:16,9,14,23,6,-9,50,66,0,0,1,0,0,0,0,2,0.74,12703202,76561198236436482
"Sat, 11th Jul",de_dust2,16:9,9,11,17,3,-6,73,50,0,0,0,0,1,0,0,0,0.67,12703196,76561198236436482
"Sat, 11th Jul",de_overpass,14:16,9,19,21,4,-2,63,84,0,0,0,0,0,0,0,1,0.89,12677175,76561198236436482
"Sat, 11th Jul",de_train,16:9,9,18,18,8,0,39,88,0,0,0,0,1,0,0,2,1.07,13131862,76561198236436482
"Sat, 11th Jul",de_mirage,5:16,9,11,18,4,-7,36,57,0,0,0,0,0,0,0,0,0.64,13131857,76561198236436482
"Sat, 11th Jul",de_cache,16:9,9,17,16,3,1,41,71,0,0,0,0,1,0,0,1,1.0,12931595,76561198236436482
"Sat, 11th Jul",de_inferno,16:13,9,18,19,3,-1,39,68,0,0,0,1,0,0,0,0,0.88,13131864,76561198236436482
"Thu, 9th Jul",de_mirage,6:16,9,17,19,1,-2,29,83,0,0,0,0,0,0,0,2,0.99,12635045,76561198236436482
"Thu, 9th Jul",de_inferno,11:16,9,11,19,6,-8,55,51,0,0,0,0,0,0,0,0,0.6,12730419,76561198236436482
"Thu, 9th Jul",de_mirage,4:16,9,12,18,2,-6,67,77,0,0,0,0,0,0,0,0,0.64,13131843,76561198236436482
"Wed, 8th Jul",de_mirage,16:7,9,20,15,6,5,40,95,0,0,0,0,1,0,0,0,1.14,12602360,76561198236436482
"Wed, 8th Jul",de_inferno,12:16,9,19,27,8,-8,32,77,0,0,0,0,2,0,0,3,0.91,12727267,76561198236436482
